district,province,census_year,census_period,is_remote,total_population,literate_population,avg_literacy_rate,total_enrolled,total_never_enrolled,total_dropout,avg_enrollment_rate,avg_dropout_rate,local_level_count,total_schools,total_teachers,avg_trained_teachers_pct,total_students,avg_student_teacher_ratio,avg_electricity_pct,avg_toilet_pct,avg_water_pct,avg_infrastructure_score
Achham,Sudur Paschim,2021,Post-Federal (2021),0,13005.0,5842.0,44.22,4323.0,1487.0,262.0,32.05,5.84,3,18.0,152.0,32.1,5684.0,48.77,22.6,57.7,42.33,40.88
Achham,Sudur Paschim,2021,Post-Federal (2021),0,13005.0,5842.0,44.22,4323.0,1487.0,262.0,32.05,5.84,3,49.0,301.0,20.7,16315.0,54.2,19.0,42.5,33.7,31.73
Achham,Sudur Paschim,2021,Post-Federal (2021),0,13005.0,5842.0,44.22,4323.0,1487.0,262.0,32.05,5.84,3,9.0,93.0,39.5,1018.0,47.75,13.0,61.1,16.5,30.2
Achham,Sudur Paschim,2021,Post-Federal (2021),0,20139.0,10936.0,56.25,7501.0,3722.0,536.0,33.98,6.51,4,18.0,152.0,32.1,5684.0,48.77,22.6,57.7,42.33,40.88
Achham,Sudur Paschim,2021,Post-Federal (2021),0,20139.0,10936.0,56.25,7501.0,3722.0,536.0,33.98,6.51,4,49.0,301.0,20.7,16315.0,54.2,19.0,42.5,33.7,31.73
Achham,Sudur Paschim,2021,Post-Federal (2021),0,20139.0,10936.0,56.25,7501.0,3722.0,536.0,33.98,6.51,4,9.0,93.0,39.5,1018.0,47.75,13.0,61.1,16.5,30.2
Achham,Sudur Paschim,2021,Post-Federal (2021),0,35765.0,19068.0,52.71,11426.0,7347.0,1101.0,33.56,9.97,6,18.0,152.0,32.1,5684.0,48.77,22.6,57.7,42.33,40.88
Achham,Sudur Paschim,2021,Post-Federal (2021),0,35765.0,19068.0,52.71,11426.0,7347.0,1101.0,33.56,9.97,6,49.0,301.0,20.7,16315.0,54.2,19.0,42.5,33.7,31.73
Achham,Sudur Paschim,2021,Post-Federal (2021),0,35765.0,19068.0,52.71,11426.0,7347.0,1101.0,33.56,9.97,6,9.0,93.0,39.5,1018.0,47.75,13.0,61.1,16.5,30.2
Achham,Sudur Paschim,2001,Pre-Federal (2001),1,68761.0,27145.0,38.01,26021.0,12249.0,2850.0,37.2,10.67,10,50.0,511.0,29.24,8498.0,14.8,34.52,49.46,34.94,39.64
Achham,Sudur Paschim,2011,Transitional (2011),1,108641.0,49405.0,45.48,44048.0,17597.0,3399.0,40.84,8.51,10,62.0,560.0,51.1,14652.0,28.54,32.42,52.96,55.3,46.89
Achham,Sudur Paschim,2021,Post-Federal (2021),1,31017.0,15097.0,45.8,10623.0,4851.0,1427.0,35.86,11.17,6,18.0,152.0,32.1,5684.0,48.77,22.6,57.7,42.33,40.88
Achham,Sudur Paschim,2021,Post-Federal (2021),1,31017.0,15097.0,45.8,10623.0,4851.0,1427.0,35.86,11.17,6,49.0,301.0,20.7,16315.0,54.2,19.0,42.5,33.7,31.73
Achham,Sudur Paschim,2021,Post-Federal (2021),1,31017.0,15097.0,45.8,10623.0,4851.0,1427.0,35.86,11.17,6,9.0,93.0,39.5,1018.0,47.75,13.0,61.1,16.5,30.2
Achham,Sudur Paschim,2021,Post-Federal (2021),0,6284.0,3999.0,63.65,2517.0,1029.0,464.0,40.05,18.43,1,18.0,152.0,32.1,5684.0,48.77,22.6,57.7,42.33,40.88
Achham,Sudur Paschim,2021,Post-Federal (2021),0,6284.0,3999.0,63.65,2517.0,1029.0,464.0,40.05,18.43,1,49.0,301.0,20.7,16315.0,54.2,19.0,42.5,33.7,31.73
Achham,Sudur Paschim,2021,Post-Federal (2021),0,6284.0,3999.0,63.65,2517.0,1029.0,464.0,40.05,18.43,1,9.0,93.0,39.5,1018.0,47.75,13.0,61.1,16.5,30.2
